targets,receptions,avg_yards,yards,touchdowns,yards_after_catch,longest,longest_touchdown,redzone_targets,air_yards,broken_tackles,dropped_passes,catchable_passes,yards_after_contact,tackles,assists,combined,sacks,sack_yards,interceptions,passes_defended,forced_fumbles,fumble_recoveries,qb_hits,tloss,tloss_yards,safeties,sp_tackles,sp_assists,sp_forced_fumbles,sp_fumble_recoveries,sp_blocks,misc_tackles,misc_assists,misc_forced_fumbles,misc_fumble_recoveries,def_targets,def_comps,blitzes,hurries,knockdowns,missed_tackles,batted_passes,three_and_outs_forced,fourth_down_stops,sp_own_fumble_recoveries,sp_opp_fumble_recoveries,PPR Points,Half PPR Points,Standard Points
13,10,12.1,121,2,61,38,38,2,60,1,0,0,21,43,25,68,3,21,0,2,0,0,4,4,23,0,2,2,0,0,0,0,0,0,0,36,30,50,4,1,9,0,2,0,0,0,34.1,29.1,24.1
7,6,7.333,44,1,32,16,3,2,12,0,0,0,3,36,23,59,3,18,0,1,0,0,4,3,16,0,4,0,0,0,0,0,0,0,0,31,23,3,4,0,6,0,2,0,0,0,16.4,13.4,10.4
13,10,11.4,114,2,45,33,9,4,69,1,1,1,13,40,24,64,0,0,0,3,0,0,4,3,13,0,2,2,0,0,0,0,0,0,0,34,24,12,4,4,9,1,3,0,0,0,33.4,28.4,23.4
14,11,12.364,136,1,43,30,11,4,93,0,0,0,0,50,26,76,0,0,0,1,0,0,3,2,2,0,4,0,0,0,0,0,0,0,0,41,30,20,6,3,9,0,1,1,0,0,30.6,25.1,19.6
7,6,9.167,55,0,33,16,0,0,22,1,0,0,9,43,20,63,4,16,2,5,2,1,6,1,8,0,2,2,0,0,0,0,0,0,0,36,24,22,5,2,4,0,1,1,0,0,11.5,8.5,5.5
17,10,14.1,141,1,62,41,3,3,79,0,0,0,17,37,12,49,6,39,3,6,3,0,9,5,28,0,2,0,0,0,0,0,0,0,0,37,24,6,2,4,0,2,1,1,0,0,30.1,25.1,20.1
7,2,6,12,1,8,11,1,2,4,0,0,0,0,36,22,58,1,8,0,4,2,1,7,3,18,0,0,0,0,0,0,0,0,0,0,40,26,28,1,4,8,2,2,0,0,0,9.2,8.2,7.2
10,5,7.2,36,1,10,18,5,5,26,1,1,1,1,38,22,60,1,7,1,6,1,0,5,4,15,0,2,0,0,0,0,0,0,0,0,57,36,2,5,3,4,1,2,0,0,0,14.6,12.1,9.6
13,9,11.222,101,0,34,20,0,3,67,1,0,0,5,48,23,71,2,15,0,4,0,0,5,7,27,0,4,2,0,0,0,0,0,0,0,45,27,6,1,3,0,1,3,0,0,0,19.1,14.6,10.1
7,3,41.333,124,2,24,58,58,0,100,0,0,0,0,35,17,52,2,18,0,1,1,0,7,2,18,0,2,1,0,0,0,0,0,0,0,29,21,22,5,4,10,0,2,1,0,0,27.4,25.9,24.4
9,8,11.875,95,0,32,16,0,0,63,0,0,0,7,39,7,46,1,5,0,1,0,0,3,4,9,0,3,2,0,0,0,0,0,0,0,27,22,2,2,2,0,0,1,0,0,0,17.5,13.5,9.5
