targets,receptions,avg_yards,yards,touchdowns,yards_after_catch,longest,longest_touchdown,redzone_targets,air_yards,broken_tackles,dropped_passes,catchable_passes,yards_after_contact,tackles,assists,combined,sacks,sack_yards,interceptions,passes_defended,forced_fumbles,fumble_recoveries,qb_hits,tloss,tloss_yards,safeties,sp_tackles,sp_assists,sp_forced_fumbles,sp_fumble_recoveries,sp_blocks,misc_tackles,misc_assists,misc_forced_fumbles,misc_fumble_recoveries,def_targets,def_comps,blitzes,hurries,knockdowns,missed_tackles,batted_passes,three_and_outs_forced,fourth_down_stops,sp_own_fumble_recoveries,sp_opp_fumble_recoveries,PPR Points,Half PPR Points,Standard Points
14,10,13,130,1,66,23,19,2,64,0,0,0,34,39,21,60,1,8,1,8,2,1,5,3,7,0,3,3,0,0,0,1,0,0,1,43,24,46,6,5,8,1,0,0,0,0,29,24,19
13,11,13.4,147,0,20,55,0,3,127,0,0,0,4,37,21,58,1,7,0,1,1,0,5,0,0,0,4,2,0,2,0,0,0,0,0,38,29,38,8,5,12,0,0,0,0,0,25.7,20.2,14.7
11,9,16.1,145,3,73,50,50,2,72,2,0,0,20,50,15,65,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,0,38,29,20,5,0,6,0,0,0,0,0,41.5,37,32.5
8,7,10.9,76,0,32,18,0,0,44,0,0,0,11,33,13,46,1,11,2,4,0,0,2,3,15,0,2,0,0,1,0,2,0,0,0,37,24,38,8,1,8,1,0,0,0,0,14.6,11.1,7.6
13,9,7.667,69,0,22,13,0,2,47,0,0,0,7,49,25,74,3,16,0,6,4,1,8,5,23,0,4,3,0,0,1,0,0,0,0,48,30,3,11,5,3,3,2,2,0,0,15.9,11.4,6.9
8,4,15,60,1,6,41,5,2,54,0,0,0,0,29,26,55,1,8,1,7,2,2,8,0,0,0,2,0,0,0,0,1,0,0,0,28,16,17,0,7,5,2,3,0,0,0,16,14,12
10,6,10.333,62,0,20,13,0,0,42,0,1,2,1,48,27,75,0,0,0,2,0,0,7,2,3,0,2,3,0,0,0,2,0,0,1,44,33,5,12,6,5,0,1,1,0,0,12.2,9.2,6.2
11,7,16.286,114,0,14,37,0,3,100,1,0,0,9,50,22,72,1,5,1,4,2,0,4,3,11,0,4,3,0,0,0,3,0,0,1,31,21,7,2,3,5,0,1,1,0,0,18.4,14.9,11.4
5,2,34.5,69,0,21,61,0,1,48,0,0,0,7,33,11,44,0,0,0,2,0,0,1,3,4,0,2,0,0,0,0,0,0,0,0,25,15,14,2,1,6,0,3,0,0,0,8.9,7.9,6.9
11,9,9.889,89,1,15,17,14,4,74,1,0,0,9,53,20,73,3,18,1,6,1,0,8,3,21,0,3,2,0,0,0,0,0,0,0,45,36,11,6,5,10,2,1,1,0,0,23.9,19.4,14.9
7,5,8,40,1,32,19,19,1,8,0,0,0,7,44,23,67,0,0,0,5,1,0,5,5,6,0,4,1,0,0,0,0,0,0,0,41,29,26,8,5,4,2,2,1,0,0,15,12.5,10
8,6,14.167,85,0,38,28,0,0,47,0,0,0,23,43,11,54,4,35,2,5,2,1,8,6,41,0,5,1,0,0,0,0,0,0,0,45,31,23,15,4,16,0,0,1,0,0,14.5,11.5,8.5
13,8,20.25,162,1,39,57,12,4,123,0,0,0,15,34,24,58,2,16,1,3,1,1,5,1,8,0,2,0,0,0,0,1,0,0,0,28,21,8,3,2,6,0,1,0,0,0,30.2,26.2,22.2
6,4,5.75,23,2,1,9,9,2,22,0,0,0,0,30,15,45,1,8,3,7,1,0,3,0,0,0,6,3,0,1,0,0,0,0,0,39,24,8,1,2,1,1,1,0,0,0,18.3,16.3,14.3
9,7,10.571,74,1,21,28,5,1,53,1,0,1,17,45,22,67,2,12,2,4,0,0,3,8,26,0,5,0,0,0,0,0,0,0,0,26,23,5,5,1,19,0,1,0,0,0,20.4,16.9,13.4
7,4,12.75,51,0,5,26,0,1,46,0,1,1,3,35,17,52,2,14,0,5,0,1,5,3,17,0,2,1,0,0,0,0,0,0,0,32,17,37,6,3,8,1,2,1,0,0,9.1,7.1,5.1
13,7,10.571,74,0,15,24,0,1,59,0,0,0,4,51,11,62,3,15,1,4,0,0,11,4,22,0,1,4,0,0,0,0,0,0,0,52,37,50,10,7,12,3,1,1,0,0,14.4,10.9,7.4
7,4,8.75,35,1,8,11,11,2,27,0,0,0,2,34,30,64,4,17,1,2,1,0,6,2,16,0,4,2,0,0,0,0,0,0,0,36,21,47,5,2,6,0,3,0,0,0,13.5,11.5,9.5
13,7,12.143,85,1,31,23,12,5,54,3,1,1,26,43,29,72,0,0,0,4,0,0,4,1,1,0,5,0,0,0,0,0,0,0,0,42,28,46,11,4,11,0,0,1,0,0,21.5,18,14.5
9,5,10.4,52,0,9,15,0,3,43,1,1,2,8,41,29,70,1,2,3,6,0,0,3,2,4,1,5,0,1,0,0,0,0,0,0,26,13,8,6,2,12,1,0,0,0,0,10.2,7.7,5.2
14,9,9,81,1,29,17,10,2,52,0,1,1,14,45,24,69,0,0,0,4,1,0,5,4,8,0,4,5,0,0,0,0,0,0,0,45,25,26,6,5,10,1,5,1,0,0,23.1,18.6,14.1
9,8,15.25,122,1,27,53,53,1,95,0,0,0,1,45,19,64,2,5,2,3,2,2,2,2,5,0,1,0,0,0,0,0,0,0,1,31,26,9,0,0,3,0,0,0,0,0,26.2,22.2,18.2
15,12,12.333,148,3,30,46,46,4,118,0,0,0,11,43,11,54,1,4,0,4,0,0,3,2,9,0,4,1,0,1,0,0,0,0,0,40,27,36,2,2,13,3,3,1,0,0,44.8,38.8,32.8
11,7,10.571,74,0,36,28,0,2,38,0,1,1,2,57,26,83,4,18,0,9,2,1,11,4,8,0,3,2,0,0,1,0,0,0,0,70,45,21,5,4,6,1,0,1,0,0,14.4,10.9,7.4
6,4,15.5,62,0,11,23,0,1,51,0,1,1,0,30,16,46,1,12,1,8,1,1,5,3,17,0,2,2,0,0,0,1,0,0,0,37,20,17,3,4,2,3,3,0,0,0,10.2,8.2,6.2
11,8,12.75,102,1,68,41,15,3,34,0,0,0,0,28,12,40,0,0,1,7,1,1,1,2,5,0,2,0,0,0,1,0,0,0,0,36,22,16,0,1,5,2,2,0,0,0,24.2,20.2,16.2
13,10,14.8,148,1,52,31,17,1,96,0,0,0,0,42,26,68,1,11,0,5,0,1,4,6,18,0,2,2,0,0,0,0,0,0,0,40,27,27,1,3,5,3,1,2,0,0,30.8,25.8,20.8
8,6,18,108,1,26,53,26,1,82,0,0,0,9,36,14,50,2,2,2,6,1,0,3,4,15,0,3,2,0,0,0,0,0,0,0,25,13,12,1,2,2,0,1,0,0,0,22.8,19.8,16.8
10,5,18.6,93,0,25,42,0,0,68,0,1,1,4,34,21,55,5,22,2,6,2,0,8,3,12,0,2,0,0,0,0,0,0,0,0,33,18,4,0,2,2,0,0,1,0,0,14.3,11.8,9.3
16,12,10.667,128,0,43,25,0,2,85,0,0,0,25,48,17,65,2,19,2,8,1,2,4,7,27,0,9,5,0,0,0,1,0,0,2,40,28,35,7,2,10,2,3,1,0,0,24.8,18.8,12.8
5,4,12,48,1,10,21,5,2,38,0,0,0,10,42,24,66,2,11,0,0,0,0,4,5,24,0,3,4,0,0,0,0,0,0,0,25,18,7,5,2,4,0,2,0,0,0,14.8,12.8,10.8
15,8,9.625,77,1,20,36,5,2,57,1,3,3,1,45,21,66,3,16,1,4,0,0,8,4,20,0,1,1,0,1,0,0,0,0,0,39,24,10,6,5,3,0,2,0,0,0,21.7,17.7,13.7
9,7,13.143,92,1,23,19,8,2,69,1,1,1,20,44,27,71,2,0,0,3,1,1,6,3,6,0,4,0,0,0,0,0,0,0,0,33,22,6,1,4,2,0,1,0,0,0,22.2,18.7,15.2
5,3,12.333,37,0,29,32,0,0,8,0,0,0,0,35,12,47,3,17,0,3,0,0,6,5,21,1,4,2,0,0,1,0,0,0,0,27,16,5,0,1,0,0,6,0,0,0,6.7,5.2,3.7
9,5,12,60,0,11,20,0,1,49,0,1,1,7,43,19,62,2,8,0,2,2,1,6,4,15,0,3,2,0,0,0,0,0,0,0,38,25,15,8,4,5,0,2,0,0,0,11,8.5,6
2,2,13,26,0,1,15,0,0,25,0,0,0,4,36,15,51,1,0,2,4,1,1,3,0,0,0,6,3,0,0,0,0,0,0,0,25,15,6,3,2,5,0,3,0,0,0,4.6,3.6,2.6
10,7,14.857,104,1,7,49,49,1,97,0,0,0,6,36,22,58,2,17,1,4,1,1,3,5,22,0,2,3,0,1,0,0,0,0,0,31,19,7,2,1,5,0,0,0,0,0,23.4,19.9,16.4
13,10,10.2,102,1,28,18,5,2,74,1,0,0,19,51,19,70,5,19,3,4,1,1,9,8,26,0,1,0,0,0,0,1,0,0,0,40,30,26,3,4,9,0,2,0,0,0,26.2,21.2,16.2
7,7,9.429,66,0,32,17,0,2,34,0,0,0,2,51,26,77,2,7,0,2,0,0,2,4,14,0,1,0,0,0,0,3,0,0,0,36,31,17,1,1,12,0,1,1,0,0,13.6,10.1,6.6
12,8,13.875,111,0,20,30,0,0,91,3,0,0,7,41,25,66,0,0,1,8,0,0,1,4,10,0,2,0,0,0,0,3,0,0,0,37,24,8,0,2,10,2,0,1,0,0,19.1,15.1,11.1
7,6,20,120,3,46,55,55,3,74,1,0,0,42,37,16,53,2,10,0,3,0,0,3,6,20,0,2,1,0,0,0,1,0,0,0,25,21,12,6,1,12,1,1,0,0,0,36,33,30
11,8,15.125,121,1,9,48,15,2,112,0,1,1,0,31,9,40,0,0,1,3,1,1,6,3,9,0,1,0,0,0,0,0,0,0,0,36,27,16,5,6,1,0,2,0,0,0,26.1,22.1,18.1
16,10,10,100,0,23,28,0,0,77,0,1,1,5,40,16,56,0,0,1,3,1,1,1,2,3,0,0,2,0,0,0,0,0,0,0,29,19,7,5,1,1,0,2,0,0,0,20,15,10
12,6,9.667,58,1,24,25,25,1,34,1,1,1,10,41,23,64,1,7,1,3,1,1,6,3,14,0,3,3,0,0,0,1,0,0,0,39,27,45,8,5,10,0,1,1,0,0,17.8,14.8,11.8
12,9,7.778,70,0,27,17,0,1,43,0,0,0,8,48,23,71,2,12,1,6,0,0,3,4,15,0,4,2,0,0,0,0,0,0,0,40,31,15,3,1,7,2,0,1,0,0,16,11.5,7
7,6,14.333,86,1,42,34,17,1,44,1,0,0,29,33,17,50,1,9,1,2,1,1,5,2,10,0,1,2,0,0,0,0,0,0,0,36,26,5,0,4,2,0,2,0,0,0,20.6,17.6,14.6
5,3,11.333,34,0,22,14,0,0,12,1,1,1,15,25,29,54,0,0,2,4,2,2,3,1,1,0,1,2,0,0,0,0,0,0,0,26,14,8,1,3,10,1,1,1,0,0,6.4,4.9,3.4
8,4,6.75,27,0,21,11,0,1,6,0,2,2,6,46,24,70,1,12,1,3,1,0,4,7,26,0,4,0,0,0,0,2,0,0,0,30,20,6,2,3,2,0,1,0,0,0,6.7,4.7,2.7
11,6,12.333,74,1,25,22,13,1,49,1,0,0,12,54,26,80,1,7,1,9,0,0,4,4,19,0,6,0,0,0,1,1,0,0,0,49,29,15,0,3,8,0,1,0,0,0,19.4,16.4,13.4
11,4,6,24,0,16,9,0,0,8,0,2,2,2,38,24,62,3,24,1,7,0,0,10,4,25,0,2,2,0,0,0,1,0,0,0,37,23,20,12,7,4,0,2,0,0,0,6.4,4.4,2.4
5,4,12,48,0,20,18,0,0,28,0,0,0,7,37,31,68,1,9,0,2,1,0,4,2,13,0,3,3,0,0,0,1,0,0,0,13,7,8,2,2,3,0,2,0,0,0,8.8,6.8,4.8
8,5,5.8,29,0,6,11,0,0,23,0,0,0,0,35,18,53,1,7,1,2,2,1,2,2,4,0,3,3,1,1,0,0,0,0,0,21,15,12,4,0,4,0,1,0,0,0,7.9,5.4,2.9
7,4,6.5,26,0,13,9,0,1,13,1,0,0,4,43,28,71,1,15,1,3,2,0,4,3,9,0,4,1,0,0,0,2,0,0,0,28,15,15,1,3,5,0,2,0,0,0,6.6,4.6,2.6
8,7,12.429,87,0,25,36,0,0,62,1,0,0,14,50,31,81,3,14,2,3,1,1,9,4,14,0,0,0,0,0,0,2,0,0,0,37,30,23,5,5,6,1,0,2,0,0,15.7,12.2,8.7
